boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18596-06,Obliga a registrar un correo electrónico para efectos de notificación en domicilio digital,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18602-07,Modifica diversos cuerpos legales para agravar las sanciones por maltrato contra animales,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18603-13,Dispone un permiso laboral para el retiro de medicamentos en establecimientos de atención primaria y secundaria de salud,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Salud | Trabajo y Seguridad Social,Salud | Trabajo y seguridad social,Salud | Trabajo y Seguridad Social,,rica,alta,trayectoria_multitematica,
18604-07,Modifica el Código Penal para agravar la pena por la receptación de vehículos en supuestos que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18577-03,"Modifica la ley N° 20.720, que sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la Superintendencia del ramo, en los términos que indica",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18578-37,Declara el día 30 de septiembre de cada año como el &quot;Día del Soldado Desconocido&quot;,parlamentario,37,,,,sin_proxy,0,,,,,,,,utilizable,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18579-07,"Modifica el Código Penal, para incorporar los delitos de atentados graves contra la dignidad y la igualdad e incitación pública al odio",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18580-07,"Modifica el artículo 101 de la Carta Fundamental, con el objeto de establecer la inhabilidad que indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18600-06,Declara feriado nacional el 17 de septiembre de 2026,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18605-15,"Modifica la ley N°18.290, de Tránsito, para disponer como infracción gravísima supuestos en que la víctima es una persona adulta mayor, con discapacidad o neurodivergente",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18606-08,Regula situación de labores mineras abandonadas,parlamentario,08,Minería y Energía,,Minería y Energía,sufijo_boletin,0,Minería y energía,,,Minería y Energía,Minería y energía,Minería y Energía,,rica,alta,,
18610-07,"Modifica la Constitución Política para disponer un plazo de prescripción en las acciones de cobro de los créditos otorgados conforme a la ley N° 20.027, sobre financiamiento de estudios de educación superior",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Hacienda | Constitución, Legislación, Justicia y Reglamento",Economía y hacienda | Constitución y justicia,,,rica,media,origen_transversal | trayectoria_multitematica,
18611-07,Modifica el Código Penal para agravar la penalidad en caso de sustracción y receptación de combustibles en supuestos que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18581-07,Establece un procedimiento general de reclamación judicial de actos de la Administración del Estado,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18582-07,"Consagra los territorios especiales digitales, con el objeto de fortalecer la soberanía digital, la continuidad estratégica del Estado y la cooperación internacional",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18612-07,Modifica diversos cuerpos legales para fortalecer la protección de redes de suministro de servicios públicos o domiciliarios,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Constitución y justicia | Seguridad,Seguridad Ciudadana,,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
18584-25,Modifica el Código Penal para ampliar el ámbito de aplicación del delito de interrupción u obstaculización de la libre circulación y del funcionamiento de los servicios de transporte,ejecutivo,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,Ministerio de Justicia y de Derechos Humanos | Ministerio de Seguridad Pública,rica,alta,,
18585-25,"Modifica el Código Procesal Penal y la ley N°19.970, que crea el sistema nacional de registros de ADN, para agilizar las investigaciones penales",ejecutivo,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,Ministerio de Justicia y de Derechos Humanos | Ministerio de Seguridad Pública,rica,alta,,
18597-07,Fortalece el sistema nacional de seguridad pública y crea un nuevo estado de excepción constitucional de seguridad pública,ejecutivo,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,Ministerio del Interior | Ministerio de Seguridad Pública | Ministerio de Defensa Nacional | Ministerio Secretaría General de la Presidencia,rica,media,origen_transversal,
18607-15,"Autoriza la importación de vehículos usados, en los casos que indica",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18608-09,"Establece la obligación que indica, para los propietarios de predios rurales colindantes con caminos públicos",parlamentario,09,Obras Públicas,,Obras Públicas,sufijo_boletin,0,Infraestructura y obras públicas,,,Obras Públicas,Infraestructura y obras públicas,Obras Públicas,,rica,alta,,
18609-07,Con el objeto de consagrar a la persecución de la corrupción como un principio rector para el Estado,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18613-07,Consagra nuevas técnicas de investigación para la persecución del delito de abigeato,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18614-06,En materia de solicitudes de reunificación familiar y de permisos de residencia fundados en vínculos matrimoniales o acuerdos de unión civil,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18615-07,Establece nueva obligación de los senadores y diputados relativa a su función de representación,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18616-03,"Establece normas sobre protección de los derechos de los consumidores, con el objeto de regular la situación del deudor de un contrato que contempla seguro de desgravamen que fallece por enfermedad oncológica",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18617-15,"Modifica el Código Aeronáutico, con el objeto de sancionar los actos de insubordinación e interferencia, que comprometan la seguridad operacional y el servicio de transporte aéreo",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18619-04,"Modifica la ley N° 21.091, sobre educación superior, con el objeto de establecer norma de transparencia para las instituciones de educación superior que accedan a financiamiento estatal",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18618-19,Establece la obligación de fijar domicilio en Chile a las plataformas digitales,parlamentario,19,Ciencia y Tecnología,,Ciencia y Tecnología,sufijo_boletin,0,Ciencia y tecnología,,,Ciencia y Tecnología,Ciencia y tecnología,Ciencia y Tecnología,,rica,alta,,
18620-08,Establece nuevas obligaciones para las empresas distribuidoras de gas,parlamentario,08,Minería y Energía,,Minería y Energía,sufijo_boletin,0,Minería y energía,,,Minería y Energía,Minería y energía,Minería y Energía,,rica,alta,,
18621-34,"Perfecciona las normas sobre medidas cautelares en los procedimientos de violencia intrafamiliar y de violencia contra las mujeres en razón de su género, y modifica las leyes que indica",ejecutivo,34,Mujeres y Equidad de Género,,Mujeres y Equidad de Género,sufijo_boletin,0,Mujeres y género,,,Mujeres y Equidad de Género,Mujeres y género,Mujeres y Equidad de Género,Ministerio de Justicia y de Derechos Humanos | Ministerio de la Mujer y Equidad de Género,rica,alta,,
18623-07,"Modifica la ley N° 21.719, que regula la protección y el tratamiento de los datos personales y crea la Agencia de Protección de Datos Personales, en el sentido que indica",ejecutivo,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,"Ministerio de Economía, Fomento y Turism | Ministerio de Hacienda | Ministerio Secretaría General de la Presidencia",rica,media,origen_transversal,
18624-36,"Modifica el Código Civil con el objeto de fortalecer la corresponsabilidad parental y regula el establecimiento del cuidado personal compartido en atención al interés superior del niño, niña o adolescente",parlamentario,36,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18625-15,Modifica la Ley de Tránsito para sancionar actos de violencia cometidos con ocasión de la conducción de vehículos motorizados,parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
