"vote_id","boletin","fecha","minority_share_binary","binary_participation_share","spread_1d","midpoint_1d","gmp","apre"
"89345","18384-08","2026-07-08",0.303571,0.722581,0.835046350955963,0.406350463628769,0.889552533626556,0.882352941176471
"89346","18384-08","2026-07-08",0.33913,0.741935,1.02583384513855,0.398311287164688,0.896024227142334,0.871794871794872
"89347","18384-08","2026-07-08",0.338983,0.76129,0.795585155487061,0.379342347383499,0.882717251777649,0.825
"89348","18384-08","2026-07-08",0.48855,0.845161,-0.561065435409546,-0.417833566665649,0.911247372627258,0.953125
"89349","18384-08","2026-07-08",0.496183,0.845161,-1.54043388366699,-0.622126877307892,0.970309257507324,0.984615384615385
"89351","18384-08","2026-07-08",0.480315,0.819355,-0.589235067367554,-0.380679309368134,0.927531123161316,0.950819672131147
"89352","18384-08","2026-07-08",0.351562,0.825806,0.157867237925529,0.0870558619499207,0.629445195198059,0.4
"89353","18384-08","2026-07-08",0.446154,0.83871,0.319901823997498,-0.0792440101504326,0.80751770734787,0.827586206896552
"89354","18384-08","2026-07-08",0.44697,0.851613,0.322686672210693,-0.082917109131813,0.808810114860535,0.830508474576271
"89355","18384-08","2026-07-08",0.424242,0.851613,-0.71185690164566,0.102913841605186,0.90535968542099,0.928571428571429
"89357","18384-08","2026-07-08",0.31746,0.812903,-0.462318986654282,-0.785360634326935,0.752643942832947,0.675
"89382","18399-06","2026-07-13",0.130435,0.593548,0.356730222702026,-0.857229769229889,0.808378398418427,0
"89385","16836-06","2026-07-13",0.282609,0.890323,1.06876921653748,0.428106337785721,0.905257165431976,0.871794871794872
"89386","16836-06","2026-07-13",0.272059,0.877419,1.43644189834595,0.43644192814827,0.932320058345795,0.918918918918919
"89387","16836-06","2026-07-13",0.284672,0.883871,1.41906213760376,0.419062107801437,0.931438267230988,0.923076923076923
"89389","16836-06","2026-07-13",0.425,0.774194,-1.59229731559753,-0.609637498855591,0.972431004047394,1
"89390","16836-06","2026-07-13",0.352518,0.896774,0.247103676199913,0.236024186015129,0.720473825931549,0.408163265306122
"89391","16836-06","2026-07-13",0.270073,0.883871,0.724660336971283,0.470748156309128,0.881158828735352,0.972972972972973
