deputy_id,deputy_name,district,servel_candidate_code,servel_candidate_name,electoral_party,electoral_pact,electoral_subpact,source_url,match_method,match_score,match_confidence
1159,Lorena Pizarro Sierra,13,66013056,LORENA PIZARRO SIERRA,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1165,Agustín Romero Leiva,8,66008094,AGUSTIN ROMERO LEIVA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1166,Natalia Romero Talguia,15,66015085,NATALIA ROMERO TALGUIA,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1170,Luis Sánchez Ossa,7,66007097,LUIS FERNANDO SANCHEZ OSSA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8433,medium
1171,Emilia Schneider Videla,10,66010061,EMILIA SCHNEIDER VIDELA,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1172,Stephan Schubert Rubio,23,66023098,STEPHAN SCHUBERT RUBIO,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1173,Daniela Serrano Salazar,12,66012058,DANIELA SERRANO SALAZAR,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1174,Marco Antonio Sulantay Olivares,5,66005089,MARCO ANTONIO SULANTAY OLIVARES,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1175,Cristián Tapia Ramos,4,66004056,CRISTIAN TAPIA RAMOS,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1176,Hotuiti Teao Drago,7,66007096,HOTUITI TEAO DRAGO,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1177,Carolina Tello Rojas,5,66005059,CAROLINA TELLO ROJAS,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1178,Héctor Ulloa Aguilera,26,66026057,HECTOR ULLOA AGUILERA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1180,Consuelo Veloso Ávila,18,66018056,CONSUELO VELOSO AVILA,PARTIDO RADICAL DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1181,Nelson Venegas Salazar,6,66006062,NELSON VENEGAS SALAZAR,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1182,Sebastián Videla Castillo,3,66003057,SEBASTIAN PATRICIO VIDELA CASTILLO,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8689,medium
1183,Flor Weisse Novoa,21,66021078,FLOR WEISSE NOVOA,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1184,Roberto Celedón Fernández,17,66017058,ROBERTO CELEDON FERNANDEZ,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1186,Ignacio Achurra Díaz,14,66014061,IGNACIO ACHURRA DIAZ,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1187,Carlo Arqueros Pizarro,3,66003086,CARLO ARQUEROS PIZARRO,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1188,Marcos Barraza Gómez,8,66008063,MARCOS BARRAZA GOMEZ,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
