deputy_id,deputy_name,valid_from,valid_to,party,caucus,alignment,basis,confidence,date_precision,source_url,source_note,official_snapshot_conflict
1152,Gloria Naveillan Arriagada,2026-03-11,,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1152,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1153,Coca Ericka Ñanco Vásquez,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1153,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1157,Marlene Pérez Cartes,2026-03-11,,Independientes,Unión Demócrata Independiente,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1157,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1159,Lorena Pizarro Sierra,2026-03-11,,Partido Comunista,Comité Comunista e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1159,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1165,Agustín Romero Leiva,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1165,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1166,Natalia Romero Talguia,2026-03-11,,Independientes,Unión Demócrata Independiente,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1166,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1170,Luis Sánchez Ossa,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1170,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1171,Emilia Schneider Videla,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1171,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1172,Stephan Schubert Rubio,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1172,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1173,Daniela Serrano Salazar,2026-03-11,,Partido Comunista,Comité Comunista e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1173,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
