deputy_id,deputy_name,district,electoral_party_slot,electoral_pact,current_party_camara,current_caucus_camara,comparison_status,has_documented_2026_event,event_dates,baseline_action,review_priority
1153,Coca Ericka Ñanco Vásquez,23,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1159,Lorena Pizarro Sierra,13,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,Partido Comunista,Comité Comunista e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1165,Agustín Romero Leiva,8,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1170,Luis Sánchez Ossa,7,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1171,Emilia Schneider Videla,10,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1172,Stephan Schubert Rubio,23,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1173,Daniela Serrano Salazar,12,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,Partido Comunista,Comité Comunista e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1174,Marco Antonio Sulantay Olivares,5,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1177,Carolina Tello Rojas,5,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1181,Nelson Venegas Salazar,6,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,Partido Socialista,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1183,Flor Weisse Novoa,21,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1186,Ignacio Achurra Díaz,14,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1187,Carlo Arqueros Pizarro,3,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1188,Marcos Barraza Gómez,8,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,Partido Comunista,Comité Comunista e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1189,Jaime Bassa Mercado,7,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1191,Valentina Becerra Peña,13,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1192,Lilian Betancurt Delgado,21,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,Partido de la Gente,Comité Partido de la Gente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1193,Patricio Briones Moller,20,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,Partido de la Gente,Comité Partido de la Gente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1194,Daniel Bustos Leal,18,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1196,Priscilla Castillo Gerli,17,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1197,Carlos Chandía Alarcón,19,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1198,Paz Charpentier Rajcevich,20,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1199,Jaime Coloma Álamos,14,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1200,Cristian Contreras Radovic,8,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,Partido de la Gente,Comité Partido de la Gente,slot_coincide_partido_actual,1,2026-04-03,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1201,Flor Contreras Vivallo,23,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,Partido de la Gente,Comité Partido de la Gente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1202,Eduardo Cretton Rebolledo,22,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1203,Sebastián Cristoffanini Jaraquemada,16,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1204,Francisco Crisóstomo Llanos,19,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,Partido Socialista,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1205,Carlos Cuadrado Prats,9,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,Partido Por la Democracia,Partido Por la Democracia e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1208,Jorge Díaz Ibarra,1,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1209,Matías Fernández Hartwig,24,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1211,Sofía González Cortés,6,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,Partido Comunista,Comité Comunista e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1212,Erich Grohs Marín,5,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,Partido Nacional Libertario,Comité Partido Nacional Libertarios,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
