"diputado_id","diputado_nombre","dimension_1_z_early","rank_aligned_early","binary_votes_selected_early","dimension_1_z_late","rank_aligned_late","binary_votes_selected_late","comparison","delta_z_late_minus_early","abs_delta_z","rank_change_late_minus_early","abs_rank_change"
"1132","Jorge Guzmán Zepeda",-0.79214961866892,63,127,-0.531891384770128,67,133,"raw_halves",0.260258233898792,0.260258233898792,4,4
"1086","Gonzalo Winter Etcheberry",1.12517039480509,125,95,1.3786041505185,141,133,"raw_halves",0.253433755713409,0.253433755713409,16,16
"1073","Juan Santana Castillo",1.17125768101959,129,125,1.42169829064082,152,125,"raw_halves",0.250440609621221,0.250440609621221,23,23
"1192","Lilian Betancurt Delgado",0.244635237751484,84,128,-0.00544221622114082,80,33,"raw_halves",-0.250077453972625,0.250077453972625,-4,4
"803","René Alinco Bustos",0.496248879908782,89,120,0.744110903725925,106,100,"raw_halves",0.247862023817142,0.247862023817142,17,17
"1197","Carlos Chandía Alarcón",-0.732415677444377,67,125,-0.48685130913072,74,129,"raw_halves",0.245564368313657,0.245564368313657,7,7
"1210","Gustavo Gatica Villarroel",1.62106015019081,150,130,1.3800992251144,147,133,"raw_halves",-0.24096092507641,0.24096092507641,-3,3
"1174","Marco Antonio Sulantay Olivares",-0.8680025232369,57,131,-0.632464257396455,50,130,"raw_halves",0.235538265840445,0.235538265840445,-7,7
"1258","Guillermo Valdés Carmona",0.349229936366685,86,134,0.116620135144339,83,128,"raw_halves",-0.232609801222347,0.232609801222347,-3,3
"1235","Javier Olivares Avendaño",-0.351492551944301,77,137,-0.12211625466359,78,131,"raw_halves",0.229376297280711,0.229376297280711,1,1
"1240","Zandra Parisi Fernández",0.233937475618257,83,122,0.00673169920088933,81,87,"raw_halves",-0.227205776417368,0.227205776417368,-2,2
"1261","Daniel Valenzuela Salazar",-0.925518889525922,22,131,-0.701924708986318,39,119,"raw_halves",0.223594180539603,0.223594180539603,17,17
"1213","Irací Hassler Jacob",1.60268687952237,149,133,1.38002571609267,145,134,"raw_halves",-0.222661163429701,0.222661163429701,-4,4
"1188","Marcos Barraza Gómez",1.60268687952237,148,133,1.38002571609267,144,134,"raw_halves",-0.222661163429701,0.222661163429701,-4,4
"1159","Lorena Pizarro Sierra",1.58834126853458,146,133,1.3693905448222,140,124,"raw_halves",-0.218950723712373,0.218950723712373,-6,6
"815","Sergio Bobadilla Muñoz",-0.871251830868479,55,135,-0.655470234273721,49,132,"raw_halves",0.215781596594759,0.215781596594759,-6,6
"1260","César Valenzuela Maass",0.939770994969633,116,128,1.15554777148547,120,134,"raw_halves",0.215776776515834,0.215776776515834,4,4
"1028","Eduardo Durán Salinas",-0.725767427121518,68,127,-0.51598347088225,68,128,"raw_halves",0.209783956239268,0.209783956239268,0,0
"1117","Nathalie Castillo Rojas",1.59042356838135,147,122,1.38094973371587,148,109,"raw_halves",-0.20947383466548,0.20947383466548,1,1
"1142","Daniel Manouchehri Lobos",0.926116483598671,115,118,1.12290062959623,119,115,"raw_halves",0.19678414599756,0.19678414599756,4,4
"1250","Bernardo Salinas Maya",1.57702217751298,145,134,1.39101787131244,149,78,"raw_halves",-0.186004306200536,0.186004306200536,4,4
"1013","Alejandro Bernales Maldonado",0.516946280659567,91,121,0.70280662865495,101,121,"raw_halves",0.185860347995382,0.185860347995382,10,10
"1180","Consuelo Veloso Ávila",1.18076887250903,130,130,1.36303088288975,139,132,"raw_halves",0.182262010380717,0.182262010380717,9,9
"1182","Sebastián Videla Castillo",0.549738939268044,96,129,0.727579839527837,103,126,"raw_halves",0.177840900259793,0.177840900259793,7,7
"1237","Francisco Orrego Gutiérrez",-0.848619267944361,59,134,-0.675054563163447,43,126,"raw_halves",0.173564704780914,0.173564704780914,-16,16
"1257","Alejandra Valdebenito Torres",-0.761811266401263,65,137,-0.589415337476217,56,130,"raw_halves",0.172395928925046,0.172395928925046,-9,9
"1009","Jorge Alessandri Vergara",-0.876105709168058,52,124,-0.706316810170656,37,127,"raw_halves",0.169788898997402,0.169788898997402,-15,15
"1246","José Antonio Rivas Villalobos",0.990149623230071,119,122,1.15639048494553,121,129,"raw_halves",0.166240861715459,0.166240861715459,2,2
"1166","Natalia Romero Talguia",-0.538424280347481,76,137,-0.377941616579828,76,128,"raw_halves",0.160482663767653,0.160482663767653,0,0
"1141","Luis Malla Valenzuela",0.621290460216195,102,117,0.779545269673992,110,124,"raw_halves",0.158254809457797,0.158254809457797,8,8
"1062","Joanna Pérez Olea",-0.644184894140996,73,113,-0.491628054443587,71,110,"raw_halves",0.15255683969741,0.15255683969741,-2,2
"1196","Priscilla Castillo Gerli",0.47105529941038,87,137,0.62066599654471,93,128,"raw_halves",0.14961069713433,0.14961069713433,6,6
"1204","Francisco Crisóstomo Llanos",0.967802490743199,117,130,1.11635421954472,117,132,"raw_halves",0.148551728801522,0.148551728801522,0,0
"1239","Fabián Ossandón Briceño",0.563819723255183,98,131,0.418121987323408,89,117,"raw_halves",-0.145697735931775,0.145697735931775,-9,9
"1131","Mauro González Villarroel",-0.708168242133963,71,119,-0.569945379236606,59,125,"raw_halves",0.138222862897357,0.138222862897357,-12,12
"1108","Juan Carlos Beltrán Silva",-0.70890986179355,70,118,-0.573643796653738,57,133,"raw_halves",0.135266065139812,0.135266065139812,-13,13
"1195","Carlos Carvajal Gallardo",0.809207069308736,109,126,0.678619981218857,99,123,"raw_halves",-0.130587088089879,0.130587088089879,-10,10
"1175","Cristián Tapia Ramos",0.774585335413829,107,128,0.646753652661352,97,96,"raw_halves",-0.127831682752477,0.127831682752477,-10,10
"1243","Tamara Ramírez Ramírez",0.533202600246958,94,131,0.407173082565674,88,126,"raw_halves",-0.126029517681284,0.126029517681284,-6,6
"1119","Sara Concha Smith",-0.674433080359118,72,131,-0.5498408713402,63,131,"raw_halves",0.124592209018918,0.124592209018918,-9,9
"1114","Félix Bugueño Sotelo",1.12699973023592,126,131,1.24864187647395,126,113,"raw_halves",0.121642146238026,0.121642146238026,0,0
"1200","Cristian Contreras Radovic",-0.325223534490401,78,131,-0.203810436813034,77,129,"raw_halves",0.121413097677367,0.121413097677367,-1,1
"1181","Nelson Venegas Salazar",1.04106529359281,122,128,1.16210105467242,122,130,"raw_halves",0.121035761079604,0.121035761079604,0,0
"1207","Valentina Cáceres Monsálvez",1.16079737869599,127,130,1.28151398782079,128,119,"raw_halves",0.120716609124805,0.120716609124805,1,1
"872","Jaime Mulet Martínez",0.495114676333002,88,128,0.612448115390767,91,120,"raw_halves",0.117333439057765,0.117333439057765,3,3
"1184","Roberto Celedón Fernández",1.17030586468365,128,131,1.28725967759341,130,134,"raw_halves",0.116953812909757,0.116953812909757,2,2
"1056","Emilia Nuyado Ancapichun",1.08425987812122,123,134,1.2004310222906,123,135,"raw_halves",0.116171144169388,0.116171144169388,0,0
"1102","Roberto Arroyo Muñoz",-0.615580560395489,75,121,-0.501198476451748,70,101,"raw_halves",0.114382083943741,0.114382083943741,-5,5
"1116","Felipe Camaño Cárdenas",0.512331110862738,90,135,0.620436039872969,92,120,"raw_halves",0.108104929010231,0.108104929010231,2,2
"986","Marcela Hernando Pérez",0.65400268217575,103,117,0.760406437307066,108,95,"raw_halves",0.106403755131317,0.106403755131317,5,5
"1206","Carolina Cucumides Calderón",1.0182004737471,120,134,1.11988801698617,118,133,"raw_halves",0.101687543239062,0.101687543239062,-2,2
"1193","Patricio Briones Moller",0.225457132333911,82,133,0.125484321531242,84,129,"raw_halves",-0.099972810802669,0.099972810802669,2,2
"1105","Héctor Barría Angulo",0.593482896743377,100,129,0.693433767381359,100,118,"raw_halves",0.0999508706379816,0.0999508706379816,0,0
"1230","Alex Nahuelquin Nahuelquin",0.209555207464584,81,131,0.113953431934561,82,126,"raw_halves",-0.0956017755300233,0.0956017755300233,1,1
"1259","Juan Marcelo Valenzuela Henríquez",0.058880247880168,79,131,-0.0362633698079407,79,125,"raw_halves",-0.0951436176881087,0.0951436176881087,0,0
"1099","Jaime Araya Guerrero",0.911349958969371,113,125,0.818187545861124,113,105,"raw_halves",-0.0931624131082476,0.0931624131082476,0,0
"1128","Ana María Gazmuri Vieira",1.5238243123454,144,133,1.43358386964922,153,101,"raw_halves",-0.0902404426961843,0.0902404426961843,9,9
"1054","Francesca Muñoz González",-0.642565547270996,74,124,-0.558313812873989,62,130,"raw_halves",0.0842517343970066,0.0842517343970066,-12,12
"1236","Paula Olmos Contreras",0.344716951290736,85,127,0.260530106944423,87,85,"raw_halves",-0.0841868443463133,0.0841868443463133,2,2
"1189","Jaime Bassa Mercado",1.31013212769959,142,135,1.39217188751676,150,126,"raw_halves",0.0820397598171703,0.0820397598171703,8,8
"1229","Javier Muñoz Riquelme",0.543034185581195,95,136,0.624906804930617,95,115,"raw_halves",0.0818726193494228,0.0818726193494228,0,0
"1241","Patricio Pinilla Valencia",0.680968626481072,104,133,0.758130088376451,107,121,"raw_halves",0.077161461895379,0.077161461895379,3,3
"1061","Andrea Parra Sauterel",0.851434436952632,112,125,0.774975556611608,109,127,"raw_halves",-0.076458880341024,0.076458880341024,-3,3
"1087","Gael Yeomans Araya",1.21251856018331,131,126,1.28513948294727,129,127,"raw_halves",0.0726209227639598,0.0726209227639598,-2,2
"1208","Jorge Díaz Ibarra",0.552162184367333,97,136,0.624128003248284,94,119,"raw_halves",0.0719658188809511,0.0719658188809511,-3,3
"1186","Ignacio Achurra Díaz",1.22743107785069,132,130,1.29906730518766,132,135,"raw_halves",0.0716362273369731,0.0716362273369731,0,0
"1238","Álvaro Ortiz Vera",0.604334560304488,101,133,0.673365050080482,98,130,"raw_halves",0.0690304897759937,0.0690304897759937,-3,3
"1226","José Montalva Feuerhake",0.808719506671582,108,130,0.739865652947598,104,133,"raw_halves",-0.0688538537239843,0.0688538537239843,-4,4
"1209","Matías Fernández Hartwig",1.23992092273647,133,130,1.30681609484775,136,136,"raw_halves",0.0668951721112834,0.0668951721112834,3,3
"1219","Tomás Kast Sommerhoff",-0.723187991323612,69,129,-0.657667919331025,47,131,"raw_halves",0.0655200719925872,0.0655200719925872,-22,22
"1224","Cristian Mella Andaur",0.567982918168974,99,130,0.631561173499788,96,130,"raw_halves",0.0635782553308142,0.0635782553308142,-3,3
"1264","Fernando Zamorano Peralta",0.846819007011401,111,129,0.783434542327703,111,126,"raw_halves",-0.0633844646836983,0.0633844646836983,0,0
"1015","Jorge Brito Hasbún",1.27024148112706,137,131,1.32849480221635,137,106,"raw_halves",0.0582533210892857,0.0582533210892857,0,0
"1074","Marisela Santibáñez Novoa",1.38770708414725,143,126,1.33485010557511,138,112,"raw_halves",-0.0528569785721431,0.0528569785721431,-5,5
"1127","Lorena Fries Monleón",1.25958669484895,134,129,1.30449624399891,133,125,"raw_halves",0.0449095491499614,0.0449095491499614,-1,1
"1077","Raúl Soto Mardones",0.829249270370088,110,126,0.785966370731789,112,111,"raw_halves",-0.0432828996382993,0.0432828996382993,2,2
"1044","Raúl Leiva Carvajal",0.986596675053147,118,128,0.946373701125213,115,103,"raw_halves",-0.0402229739279334,0.0402229739279334,-3,3
"1039","Pamela Jiles Moreno",0.517643467655391,93,131,0.478651344229223,90,126,"raw_halves",-0.0389921234261683,0.0389921234261683,-3,3
"1153","Coca Ericka Ñanco Vásquez",1.27421055628851,139,131,1.23687942717241,124,32,"raw_halves",-0.0373311291160987,0.0373311291160987,-15,15
"1256","Tatiana Urrutia Herrera",1.27018560210964,136,133,1.30461208147672,134,125,"raw_halves",0.0344264793670772,0.0344264793670772,-2,2
"1252","Constanza Schonhaut Soto",1.27254844167892,138,132,1.30474719726124,135,129,"raw_halves",0.0321987555823251,0.0321987555823251,-3,3
"843","René Manuel García García",-0.733209013810968,66,98,-0.704902369188104,38,129,"raw_halves",0.0283066446228634,0.0283066446228634,-28,28
"1222","Andrea Macías Palma",1.2641168494554,135,129,1.2391947518101,125,125,"raw_halves",-0.0249220976452942,0.0249220976452942,-10,10
