project_id,boletin,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,tipo_iniciativa_codigo,camara_origen,camara_origen_codigo,admisible,estado_actual,source_url,updated_at
18924,18261-13,Declara el día 4 de noviembre de cada año como el Día Nacional del Trabajador de Cementerios,2026-05-19,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18924&prmBOLETIN=18261-13,2026-09-02T15:26:00Z
18936,18272-37,Declara el trabajo de las mujeres descoladoras en la industria pesquera como patrimonio cultural inmaterial de Chile,2026-05-19,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18936&prmBOLETIN=18272-37,2026-09-02T15:26:00Z
18937,18273-21,"Modifica la Ley General de Pesca y Acuicultura, con el objeto de reconocer las actividades conexas a la pesca industrial.",2026-05-19,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18937&prmBOLETIN=18273-21,2026-09-02T15:26:00Z
18938,18274-07,"Modifica la Carta Fundamental, con el objeto de consagrar el deber del Estado de resguardar la soberanía digital",2026-05-19,parlamentario,Moción,2,Senado,2,true,de resguardar la soberanía digital Legislatura: 374 Fecha de ingreso: martes 19 de mayo de 2026 Estado Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18938&prmBOLETIN=18274-07,2026-09-02T15:26:00Z
18939,18275-12,"Modifica diversos cuerpos legales, con el objeto de precisar las funciones ecosistémicas esenciales de los humedales urbanos y los criterios para su delimitación y protección.",2026-05-19,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18939&prmBOLETIN=18275-12,2026-09-02T15:26:00Z
18940,18276-07,"Modifica el número 1° del artículo 447 del Código Penal, con el objeto de actualizar los términos utilizados en la tipificación del delito de hurto doméstico",2026-05-20,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18940&prmBOLETIN=18276-07,2026-09-02T15:26:00Z
18954,18277-04,Restringe el uso de redes sociales por parte de los menores de edad que indica,2026-05-20,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18954&prmBOLETIN=18277-04,2026-09-02T15:26:00Z
18955,18278-13,"Sanciona las acusaciones falsas en materia laboral, y modifica el Código Penal y el Código del Trabajo del modo que indica",2026-05-20,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18955&prmBOLETIN=18278-13,2026-09-02T15:26:00Z
18965,18289-01,"Modifica el DFL N° 30, de 2004, que aprueba el texto refundido, coordinado y sistematizado del decreto con fuerza de ley de Hacienda N° 213, de 1953, sobre ordenanza de aduanas, para establecer sanciones en caso de contrabando de productos agropecuarios infestados",2026-05-20,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18965&prmBOLETIN=18289-01,2026-09-02T15:26:00Z
18963,18288-06,Modifica diversos cuerpos legales para eliminar la facultad de autoridades locales y regionales de renunciar antes del periodo establecido y postular a nuevos cargos de elección popular,2026-05-21,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18963&prmBOLETIN=18288-06,2026-09-02T15:26:00Z
