boletin,author_order,author_id,author_name,author_chamber
18228-04,0,1207,Valentina Cáceres Monsálvez,Diputado
18228-04,0,1209,Matías Fernández Hartwig,Diputado
18228-04,0,1252,Constanza Schonhaut Soto,Diputado
18228-04,0,1256,Tatiana Urrutia Herrera,Diputado
18229-11,0,1065,Guillermo Ramírez Diez,Diputado
18229-11,0,1140,Daniel Lilayu Vivanco,Diputado
18229-11,0,1143,Cristóbal Martínez Ramírez,Diputado
18229-11,0,1166,Natalia Romero Talguia,Diputado
18229-11,0,1174,Marco Antonio Sulantay Olivares,Diputado
18229-11,0,1176,Hotuiti Teao Drago,Diputado
18229-11,0,1199,Jaime Coloma Álamos,Diputado
18229-11,0,1202,Eduardo Cretton Rebolledo,Diputado
18229-11,0,1234,Mario Olavarría Rodríguez,Diputado
18229-11,0,1257,Alejandra Valdebenito Torres,Diputado
18233-07,0,1117,Iván Moreira Barros,Senador
18233-07,0,1324,Karim Bianchi Retamales,Senador
18233-07,0,1330,Iván Flores García,Senador
18233-07,0,1334,Alejandro Kusanovic Glusevic,Senador
18233-07,0,1337,Paulina Núñez Urrutia,Senador
18234-35,0,1140,Daniel Lilayu Vivanco,Diputado
18234-35,0,1143,Cristóbal Martínez Ramírez,Diputado
18234-35,0,1157,Marlene Pérez Cartes,Diputado
18234-35,0,1166,Natalia Romero Talguia,Diputado
18234-35,0,1183,Flor Weisse Novoa,Diputado
18234-35,0,1231,Ximena Naranjo Pinto,Diputado
18234-35,0,1233,Ricardo Neumann Bertín,Diputado
18234-35,0,1234,Mario Olavarría Rodríguez,Diputado
18234-35,0,1249,Omar Sabat Guzmán,Diputado
18234-35,0,1257,Alejandra Valdebenito Torres,Diputado
18235-19,0,1140,Daniel Lilayu Vivanco,Diputado
18235-19,0,1143,Cristóbal Martínez Ramírez,Diputado
18235-19,0,1157,Marlene Pérez Cartes,Diputado
18235-19,0,1174,Marco Antonio Sulantay Olivares,Diputado
18235-19,0,1176,Hotuiti Teao Drago,Diputado
18235-19,0,1199,Jaime Coloma Álamos,Diputado
18235-19,0,1231,Ximena Naranjo Pinto,Diputado
18235-19,0,1234,Mario Olavarría Rodríguez,Diputado
18235-19,0,1257,Alejandra Valdebenito Torres,Diputado
18235-19,0,815,Sergio Bobadilla Muñoz,Diputado
18236-18,0,1028,Eduardo Durán Salinas,Diputado
18236-18,0,1054,Francesca Muñoz González,Diputado
18236-18,0,1074,Marisela Santibáñez Novoa,Diputado
18236-18,0,1119,Sara Concha Smith,Diputado
18236-18,0,1180,Consuelo Veloso Ávila,Diputado
