diputado_id,diputado_nombre,opportunity_rollcalls,rollcalls_total,first_opportunity_date,last_opportunity_date,n_affirmative,n_against,n_abstention,n_no_vote,n_excused,n_substantive,substantive_participation_pct,n_binary,binary_participation_pct
1254,Ignacio Urcullú Clèment-Lund,364,364,2026-03-18,2026-09-01,254,101,6,3,0,361,99.1758,355,97.5275
1255,Eileen Urqueta Rojas,364,364,2026-03-18,2026-09-01,238,113,13,0,0,364,100.0000,351,96.4286
1256,Tatiana Urrutia Herrera,364,364,2026-03-18,2026-09-01,182,148,11,23,0,341,93.6813,330,90.6593
1257,Alejandra Valdebenito Torres,364,364,2026-03-18,2026-09-01,256,90,9,9,0,355,97.5275,346,95.0549
1258,Guillermo Valdés Carmona,364,364,2026-03-18,2026-09-01,253,97,14,0,0,364,100.0000,350,96.1538
1259,Juan Marcelo Valenzuela Henríquez,364,364,2026-03-18,2026-09-01,256,83,14,11,0,353,96.9780,339,93.1319
1260,César Valenzuela Maass,364,364,2026-03-18,2026-09-01,209,137,17,1,0,363,99.7253,346,95.0549
1261,Daniel Valenzuela Salazar,364,364,2026-03-18,2026-09-01,228,92,10,34,0,330,90.6593,320,87.9121
1262,Diego Vergara Rodríguez,364,364,2026-03-18,2026-09-01,251,100,9,4,0,360,98.9011,351,96.4286
1263,Sebastián Zamora Soto,364,364,2026-03-18,2026-09-01,244,95,10,15,0,349,95.8791,339,93.1319
1264,Fernando Zamorano Peralta,364,364,2026-03-18,2026-09-01,233,107,14,10,0,354,97.2527,340,93.4066
