vote_id,boletin,fecha,sesion_id,sesion_numero,descripcion,articulo,total_si,total_no,total_abstencion,total_dispensado,tipo_votacion,tipo_votacion_codigo,resultado,resultado_codigo,quorum,quorum_codigo,tipo_votacion_proyecto,tipo_votacion_proyecto_codigo,tramite_constitucional,tramite_constitucional_codigo,tramite_reglamentario,tramite_reglamentario_codigo,verificado_sala,verification_url
89483,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Nuevo inciso tercero que se incorpora al artículo 120, propuesto por el Senado en el nuevo número 3 del artículo 21 del proyecto; que consta en las páginas 363 y 364 del comparado; y que requiere para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de una norma de rango orgánico constitucional.",95,50,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Calificado,2,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89483
89484,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo 29 del proyecto, cuya votación separada ha sido solicitada por las diputadas Serrano, Yeomans, Schneider, Gazmuri y Tello, y de los diputados Leiva, Venegas, Malla, Soto, Díaz, Barría, Barraza y Manouchehri, y que consta en las páginas 380 a 412 del comparado.",84,61,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89484
89485,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que suprime el artículo 31 del proyecto, cuya votación separada ha sido solicitada por la diputada Gael Yeomans y los diputados Daniel Manouchehri y Juan Valenzuela, y que consta en las páginas 415 a 470 del comparado.",75,70,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89485
89486,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que agrega el artículo 33, nuevo, cuya votación separada ha sido solicitada por la diputada Gael Yeomans y el diputado Juan Valenzuela, y que consta en las páginas 475 a 486 del comparado.",75,70,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89486
89487,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que agrega el artículo 34, nuevo, cuya votación separada ha sido solicitada por el diputado Daniel Manouchehri, y que consta en la página 490 del comparado.",96,48,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89487
89488,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que agrega el artículo 35, nuevo, cuya votación separada ha sido solicitada por los diputados Daniel Manouchehri y Juan Valenzuela; que consta en las páginas 492 a 507 del comparado; y que requiere para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de una norma de rango orgánico constitucional.",76,69,0,0,Proyecto de Ley,1,Unánime,2,Quórum Calificado,2,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89488
89489,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Número 1 del artículo 36, nuevo, propuesto por el Senado; que consta en las páginas 508 a 514 del comparado y que requiere para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de una norma de rango orgánico constitucional.",85,60,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Calificado,2,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89489
89490,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que agrega el artículo 37, nuevo, cuya votación separada ha sido solicitada por el diputado Daniel Manouchehri; que consta en las páginas 520 y 521 del comparado; y que requiere para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de una norma de quórum calificado.",87,58,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Calificado,2,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89490
89491,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo primero transitorio, cuya votación separada ha sido solicitada por el diputado Daniel Manouchehri, y que consta en las páginas 531 a 539 del comparado.",84,61,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89491
89492,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo tercero transitorio, cuya votación separada ha sido solicitada por el diputado Daniel Manouchehri y que consta en las páginas 542 a 583 del comparado. Cabe hacer presente, que el párrafo primero del número 13 de este artículo requiere para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de una norma de quórum calificado.",85,60,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89492
