diputado_id,diputado_nombre,group_type,scope,min_chamber_binary_minority_share,comparisons,matches,divergences,agreement_pct,group_names_observed
1226,José Montalva Feuerhake,caucus,minority_ge_20,0.20,238,213,25,89.4958,Partido Por la Democracia e Independientes
1226,José Montalva Feuerhake,party,all,0.00,0,0,0,,Independientes
1226,José Montalva Feuerhake,party,minority_ge_05,0.05,0,0,0,,Independientes
1226,José Montalva Feuerhake,party,minority_ge_10,0.10,0,0,0,,Independientes
1226,José Montalva Feuerhake,party,minority_ge_20,0.20,0,0,0,,Independientes
1227,Claudia Mora Vega,caucus,all,0.00,359,349,10,97.2145,"Renovación Nacional, Evopoli e Independientes"
1227,Claudia Mora Vega,caucus,minority_ge_05,0.05,266,256,10,96.2406,"Renovación Nacional, Evopoli e Independientes"
1227,Claudia Mora Vega,caucus,minority_ge_10,0.10,256,247,9,96.4844,"Renovación Nacional, Evopoli e Independientes"
1227,Claudia Mora Vega,caucus,minority_ge_20,0.20,238,231,7,97.0588,"Renovación Nacional, Evopoli e Independientes"
1227,Claudia Mora Vega,party,all,0.00,359,349,10,97.2145,Renovación Nacional
1227,Claudia Mora Vega,party,minority_ge_05,0.05,266,256,10,96.2406,Renovación Nacional
1227,Claudia Mora Vega,party,minority_ge_10,0.10,255,246,9,96.4706,Renovación Nacional
1227,Claudia Mora Vega,party,minority_ge_20,0.20,237,230,7,97.0464,Renovación Nacional
1228,Paulina Muñoz Minte,caucus,all,0.00,363,362,1,99.7245,Comité Partido Nacional Libertarios
1228,Paulina Muñoz Minte,caucus,minority_ge_05,0.05,268,267,1,99.6269,Comité Partido Nacional Libertarios
1228,Paulina Muñoz Minte,caucus,minority_ge_10,0.10,257,256,1,99.6109,Comité Partido Nacional Libertarios
1228,Paulina Muñoz Minte,caucus,minority_ge_20,0.20,238,237,1,99.5798,Comité Partido Nacional Libertarios
1228,Paulina Muñoz Minte,party,all,0.00,363,362,1,99.7245,Partido Nacional Libertario
1228,Paulina Muñoz Minte,party,minority_ge_05,0.05,268,267,1,99.6269,Partido Nacional Libertario
1228,Paulina Muñoz Minte,party,minority_ge_10,0.10,257,256,1,99.6109,Partido Nacional Libertario
1228,Paulina Muñoz Minte,party,minority_ge_20,0.20,238,237,1,99.5798,Partido Nacional Libertario
1229,Javier Muñoz Riquelme,caucus,all,0.00,349,335,14,95.9885,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1229,Javier Muñoz Riquelme,caucus,minority_ge_05,0.05,255,241,14,94.5098,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1229,Javier Muñoz Riquelme,caucus,minority_ge_10,0.10,244,230,14,94.2623,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1229,Javier Muñoz Riquelme,caucus,minority_ge_20,0.20,225,211,14,93.7778,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1229,Javier Muñoz Riquelme,party,all,0.00,347,334,13,96.2536,Partido Demócrata Cristiano
1229,Javier Muñoz Riquelme,party,minority_ge_05,0.05,254,241,13,94.8819,Partido Demócrata Cristiano
1229,Javier Muñoz Riquelme,party,minority_ge_10,0.10,243,230,13,94.6502,Partido Demócrata Cristiano
